Currency,Cash Buy,Cash Sell
"美金 (USD)
                            

                                美金 (USD)",32.64,32.295
"港幣 (HKD)
                            

                                港幣 (HKD)",4.188,4.105
"英鎊 (GBP)
                            

                                英鎊 (GBP)",41.57,40.345
"澳幣 (AUD)
                            

                                澳幣 (AUD)",21.82,21.255
"加拿大幣 (CAD)
                            

                                加拿大幣 (CAD)",24.07,23.49
"新加坡幣 (SGD)
                            

                                新加坡幣 (SGD)",24.27,23.83
"瑞士法郎 (CHF)
                            

                                瑞士法郎 (CHF)",36.1,35.51
"日圓 (JPY)
                            

                                日圓 (JPY)",0.2133,0.2073
"南非幣 (ZAR)
                            

                                南非幣 (ZAR)",-,1.71
"瑞典幣 (SEK)
                            

                                瑞典幣 (SEK)",3.13,2.94
"紐元 (NZD)
                            

                                紐元 (NZD)",19.85,19.33
"泰幣 (THB)
                            

                                泰幣 (THB)",0.941,0.8604
"菲國比索 (PHP)
                            

                                菲國比索 (PHP)",0.6312,-
"印尼幣 (IDR)
                            

                                印尼幣 (IDR)",0.00238,-
"歐元 (EUR)
                            

                                歐元 (EUR)",35.42,34.595
"韓元 (KRW)
                            

                                韓元 (KRW)",0.02602,-
"越南盾 (VND)
                            

                                越南盾 (VND)",0.00144,-
"馬來幣 (MYR)
                            

                                馬來幣 (MYR)",7.313,-
"人民幣 (CNY)
                            

                                人民幣 (CNY)",4.549,4.454
